broker_id,broker_group,branch_name,city,broker_name,source,note,broker_org_type,seat_type,is_proprietary,id_quality,broker_category_ids
9862,元大,南京,台北市,元大-南京,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9863,元大,和平,台北市,元大-和平,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9867,元大,內湖民權,台北市,元大-內湖民權,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9868,元大,文心,台中市,元大-文心,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9869,元大,新盛,新北市,元大-新盛,finmind,,local,branch,N,official,"BR01,SE02,ID01"
986K,元大,基隆孝二,基隆市,元大-基隆孝二,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9871,元大,忠孝,台北市,元大-忠孝,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9872,元大,復北,台北市,元大-復北,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9873,元大,西門,台北市,元大-西門,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9874,元大,雙和,新北市,元大-雙和,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9875,元大,土城永寧,新北市,元大-土城永寧,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9878,元大,金華,台南市,元大-金華,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9879,元大,板橋三民,新北市,元大-板橋三民,finmind,,local,branch,N,official,"BR01,SE02,ID01"
987A,元大,楊梅,桃園市,元大-楊梅,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9884,元大,斗信,雲林縣,元大-斗信,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9888,元大,鑫永和,新北市,元大-鑫永和,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9889,元大,員林,彰化縣,元大-員林,finmind,,local,branch,N,official,"BR01,SE02,ID01"
988B,元大,桃園,桃園市,元大-桃園,finmind,,local,branch,N,official,"BR01,SE02,ID01"
988C,元大,三重,新北市,元大-三重,finmind,,local,branch,N,official,"BR01,SE02,ID01"
988V,元大,長庚,桃園市,元大-長庚,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9891,元大,永和,新北市,元大-永和,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9892,元大,屏東,屏東縣,元大-屏東,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9893,元大,大天母,台北市,元大-大天母,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9894,元大,桃興,桃園市,元大-桃興,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9896,元大,台南,台南市,元大-台南,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9897,元大,土城,新北市,元大-土城,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9898,元大,新莊,新北市,元大-新莊,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9899,元大,淡水,新北市,元大-淡水,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989A,元大,北投,台北市,元大-北投,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989B,元大,台中中港,台中市,元大-台中中港,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989C,元大,板橋,新北市,元大-板橋,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989D,元大,左營,高雄市,元大-左營,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989E,元大,草屯,南投縣,元大-草屯,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989F,元大,三民,高雄市,元大-三民,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989G,元大,大同,台北市,元大-大同,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989I,元大,蘆洲中正,新北市,元大-蘆洲中正,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989J,元大,彰化民生,彰化縣,元大-彰化民生,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989L,元大,成功,桃園市,元大-成功,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989N,元大,內湖,台北市,元大-內湖,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989P,元大,敦南,台北市,元大-敦南,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989Q,元大,汐止,新北市,元大-汐止,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989S,元大,鹿港,彰化縣,元大-鹿港,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989U,元大,大甲,台中市,元大-大甲,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989V,元大,北三重,新北市,元大-北三重,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989W,元大,豐原站前,台中市,元大-豐原站前,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989X,元大,民生三民,台北市,元大-民生三民,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989Y,元大,基隆,基隆市,元大-基隆,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989Z,元大,小港,高雄市,元大-小港,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989a,元大,苑裡,苗栗縣,元大-苑裡,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989d,元大,北屯,台中市,元大-北屯,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989e,元大,中和,新北市,元大-中和,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989f,元大,東港,屏東縣,元大-東港,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989g,元大,嘉義,嘉義市,元大-嘉義,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989j,元大,樹林,新北市,元大-樹林,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989k,元大,古亭,台北市,元大-古亭,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989m,元大,信義,台北市,元大-信義,finmind,,local,branch,N,official,"BR01,SE02,ID01"
989z,元大,國際證券,台北市,元大-國際證券,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A00,永豐金,總部,台北市,永豐金,finmind,,local,hq,N,official,"BR01,SE01,ID01"
9A0T,永豐金自營,總部,台北市,永豐金自營,finmind,,local,hq,Y,official,"BR01,SE01,SE04,ID01"
9A61,永豐金,鳳山,高雄市,永豐金-鳳山,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A69,永豐金,屏東,屏東縣,永豐金-屏東,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A79,永豐金,埔里,南投縣,永豐金-埔里,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A81,永豐金,匯立,台北市,永豐金-匯立,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A88,永豐金,國際證券,台北市,永豐金-國際證券,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A89,永豐金,敦北,台北市,永豐金-敦北,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A8F,永豐金,敦南,台北市,永豐金-敦南,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A91,永豐金,松山,台北市,永豐金-松山,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A92,永豐金,萬盛,台北市,永豐金-萬盛,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A96,永豐金,博愛,台北市,永豐金-博愛,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A97,永豐金,新竹,新竹市,永豐金-新竹,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A98,永豐金,大園,桃園市,永豐金-大園,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A99,永豐金,中壢,桃園市,永豐金-中壢,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9A,永豐金,羅東,宜蘭縣,永豐金-羅東,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9B,永豐金,中和,新北市,永豐金-中和,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9C,永豐金,員林,彰化縣,永豐金-員林,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9D,永豐金,忠孝,台北市,永豐金-忠孝,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9E,永豐金,板橋,新北市,永豐金-板橋,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9G,永豐金,天母,台北市,永豐金-天母,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9H,永豐金,新莊,新北市,永豐金-新莊,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9J,永豐金,板新,新北市,永豐金-板新,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9K,永豐金,三重,新北市,永豐金-三重,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9L,永豐金,台中,台中市,永豐金-台中,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9M,永豐金,南投,南投縣,永豐金-南投,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9N,永豐金,桃盛,桃園市,永豐金-桃盛,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9P,永豐金,竹北,新竹縣,永豐金-竹北,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9Q,永豐金,豐原,台中市,永豐金-豐原,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9R,永豐金,信義,台北市,永豐金-信義,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9S,永豐金,南京,台北市,永豐金-南京,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9U,永豐金,中正,台北市,永豐金-中正,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9W,永豐金,市政,台中市,永豐金-市政,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9X,永豐金,竹科,新竹市,永豐金-竹科,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9Y,永豐金,板盛,新北市,永豐金-板盛,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9Z,永豐金,復興,台北市,永豐金-復興,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9a,永豐金,苓雅,高雄市,永豐金-苓雅,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9b,永豐金,虎尾,雲林縣,永豐金-虎尾,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9c,永豐金,永康,台南市,永豐金-永康,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9d,永豐金,古亭,台北市,永豐金-古亭,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9e,永豐金,高雄,高雄市,永豐金-高雄,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9f,永豐金,中盛,台中市,永豐金-中盛,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9g,永豐金,內湖,台北市,永豐金-內湖,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9h,永豐金,台南,台南市,永豐金-台南,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9i,永豐金,新店,新北市,永豐金-新店,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9j,永豐金,嘉義,嘉義市,永豐金-嘉義,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9q,永豐金,潮州,屏東縣,永豐金-潮州,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9r,永豐金,北高雄,高雄市,永豐金-北高雄,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9s,永豐金,彰化,彰化市,永豐金-彰化,finmind,,local,branch,N,official,"BR01,SE02,ID01"
9A9x,永豐金,桃園,桃園市,永豐金-桃園,finmind,,local,branch,N,official,"BR01,SE02,ID01"
918F,群益金鼎,新店,台北市,群益金鼎-新店,finmind,,local,branch,N,official,"BR01,SE02,ID01"
,臺銀,總部,台北市,臺銀,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,台灣工銀,總部,台北市,台灣工銀,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,摩根士丹利,總部,台北市,摩根士丹利,wantgoo,from wantgoo broker dropdown,foreign,hq,N,platform,"BR02,SE01,ID02"
,港商德意志,總部,台北市,港商德意志,wantgoo,from wantgoo broker dropdown,foreign,hq,N,platform,"BR02,SE01,ID02"
,港商法興,總部,台北市,港商法興,wantgoo,from wantgoo broker dropdown,foreign,hq,N,platform,"BR02,SE01,ID02"
,花旗,總部,台北市,花旗,wantgoo,from wantgoo broker dropdown,foreign,hq,N,platform,"BR02,SE01,ID02"
,星洲瑞銀,總部,台北市,星洲瑞銀,wantgoo,from wantgoo broker dropdown,foreign,hq,N,platform,"BR02,SE01,ID02"
,港商聯昌,總部,台北市,港商聯昌,wantgoo,from wantgoo broker dropdown,foreign,hq,N,platform,"BR02,SE01,ID02"
,群益,總部,台北市,群益,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,大慶,總部,台北市,大慶,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,豐興,總部,台北市,豐興,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,光隆,總部,台北市,光隆,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,犇亞,總部,台北市,犇亞,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,大眾,總部,台北市,大眾,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,渣打商銀,總部,台北市,渣打商銀,wantgoo,from wantgoo broker dropdown,foreign,hq,N,platform,"BR02,SE01,ID02"
,信富,總部,台北市,信富,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,豐農,總部,台北市,豐農,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,台安,總部,台北市,台安,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,金港,總部,台北市,金港,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,金興,總部,台北市,金興,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,富星,總部,台北市,富星,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,豐德,總部,台北市,豐德,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,聯邦,總部,新北市,聯邦,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,萬通,總部,台北市,萬通,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,陽信台中,總部,台北市,陽信台中,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,大鼎,總部,台北市,大鼎,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,鑫豐,總部,台北市,鑫豐,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,大和,總部,台北市,大和,wantgoo,from wantgoo broker dropdown,local,hq,N,platform,"BR01,SE01,ID02"
,台灣巴克萊,總部,台北市,台灣巴克萊,wantgoo,from wantgoo broker dropdown,foreign,hq,N,platform,"BR02,SE01,ID02"
,上海匯豐,總部,台北市,上海匯豐,wantgoo,from wantgoo broker dropdown,foreign,hq,N,platform,"BR02,SE01,ID02"
,元大,所有分行,台北市,元大-所有分行,wantgoo,from wantgoo branch dropdown,local,aggregate,N,platform,"BR01,SE03,ID02"
,元大,寶來期貨,台北市,元大-寶來期貨,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,期貨,台北市,元大-期貨,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,北天母,台北市,元大-北天母,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,中山北,台北市,元大-中山北,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,復興,台北市,元大-復興,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,自由,台北市,元大-自由,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,自營,台北市,元大-自營,wantgoo,from wantgoo branch dropdown,local,branch,Y,platform,"BR01,SE02,SE04,ID02"
,元大,屏東民,屏東縣,元大-屏東民,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,高福,台北市,元大-高福,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,敦信,台北市,元大-敦信,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,土城學,新北市,元大-土城學,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,府中,新北市,元大-府中,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,南永康,台南市,元大-南永康,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,忠鼎,台北市,元大-忠鼎,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,員林中,彰化縣,元大-員林中,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,重慶,台北市,元大-重慶,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,劍潭,台北市,元大-劍潭,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,新竹東門,新竹市,元大-新竹東門,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,德芳,台中市,元大-德芳,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,東高雄,高雄市,元大-東高雄,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,松南,台北市,元大-松南,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,新店,台北市,元大-新店,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,延平,台北市,元大-延平,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,文心興,台北市,元大-文心興,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,大嘉義,嘉義市,元大-大嘉義,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,新竹經,新竹市,元大-新竹經,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,長安,台北市,元大-長安,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,長榮,台北市,元大-長榮,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,樹板,台北市,元大-樹板,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,內湖民,台北市,元大-內湖民,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,高雄七賢,高雄市,元大-高雄七賢,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,中山,台北市,元大-中山,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,基隆孝,基隆市,元大-基隆孝,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,土城永,新北市,元大-土城永,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,高雄前金,高雄市,元大-高雄前金,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,金天母,台北市,元大-金天母,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,板橋三,新北市,元大-板橋三,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,新壢,台北市,元大-新壢,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,頭份中華,台北市,元大-頭份中華,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,公館,台北市,元大-公館,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,總公司,台北市,元大-總公司,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,城中,台北市,元大-城中,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,台中港,台中市,元大-台中港,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,西湖,台北市,元大-西湖,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,蘆洲中,台北市,元大-蘆洲中,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
,元大,民生三,台北市,元大-民生三,wantgoo,from wantgoo branch dropdown,local,branch,N,platform,"BR01,SE02,ID02"
